age,gender,year,course,gwa,openness_to_experience,conscientiousness,extroversion,agreeableness,neuroticism
21,1,3,23,1.21,0.4999999999999999,0.625,0.5675675675675675,0.423076923076923,0.7096774193548387
22,0,3,23,1.43,0.5833333333333334,0.875,0.16216216216216217,0.23076923076923073,0.9032258064516129
21,1,3,23,1.3,0.5833333333333334,0.75,0.9189189189189191,0.6153846153846154,0.29032258064516125
22,1,3,10,1.75,0.5416666666666666,0.59375,0.4594594594594595,0.5384615384615385,0.6451612903225806
20,0,2,42,1.75,0.16666666666666663,0.28125,0.40540540540540543,0.3846153846153846,0.3225806451612903
20,0,3,18,1.5,0.45833333333333337,0.75,0.48648648648648657,0.34615384615384615,0.4193548387096774
21,0,3,13,1.34,0.8749999999999999,0.90625,0.6486486486486487,1.0,0.6129032258064516
21,1,2,23,1.42,0.4999999999999999,0.5,0.43243243243243246,0.3846153846153846,0.6451612903225806
20,0,3,21,1.96,0.8333333333333334,0.9375,0.08108108108108109,0.423076923076923,0.3548387096774194
20,2,0,46,1.71,0.4999999999999999,0.28125,0.32432432432432434,0.423076923076923,0.6451612903225806
21,0,3,8,1.9,0.5833333333333334,0.78125,0.43243243243243246,0.7307692307692308,0.6129032258064516
20,0,2,35,1.67,0.7083333333333334,0.5625,0.5675675675675675,0.6923076923076923,0.7741935483870968
22,0,3,30,1.21,0.5416666666666666,0.625,0.5945945945945947,0.5,0.5161290322580645
20,1,3,16,1.88,0.7499999999999999,0.59375,0.35135135135135137,0.6923076923076923,0.3225806451612903
20,0,3,17,1.13,0.5416666666666666,0.78125,0.5405405405405406,0.423076923076923,0.9032258064516129
21,0,3,33,1.75,0.5833333333333334,0.78125,0.5135135135135136,0.6538461538461537,0.3225806451612903
21,1,3,9,1.75,0.7083333333333334,0.53125,0.6756756756756757,0.5,0.6129032258064516
21,1,3,26,1.71,0.375,0.75,0.1891891891891892,0.6538461538461537,0.967741935483871
21,0,3,34,1.57,0.5416666666666666,0.71875,0.5135135135135136,0.5384615384615385,0.22580645161290322
21,1,3,21,2.25,0.41666666666666663,0.5,0.5405405405405406,0.846153846153846,0.7741935483870968
21,2,3,23,1.594,0.20833333333333337,0.46875,0.2702702702702703,0.5384615384615385,0.5483870967741935
21,1,3,26,1.91,0.8333333333333334,0.40625,0.10810810810810811,0.6538461538461537,0.1935483870967742
21,0,3,0,1.36,0.45833333333333337,0.4375,0.35135135135135137,0.46153846153846145,0.5483870967741935
21,2,3,3,1.42,0.41666666666666663,0.53125,0.0,0.0,0.5483870967741935
21,0,2,34,1.98,0.45833333333333337,0.4375,0.5135135135135136,0.3076923076923077,0.1935483870967742
20,0,3,5,1.75,0.8749999999999999,0.625,0.5405405405405406,0.8076923076923077,0.45161290322580644
21,0,3,40,1.0,0.6249999999999999,0.5625,1.0000000000000002,0.5,0.4193548387096774
21,0,3,37,1.33,0.5416666666666666,0.5,0.48648648648648657,0.423076923076923,0.3870967741935484
20,1,3,21,1.52,0.41666666666666663,0.53125,0.5135135135135136,0.5384615384615385,0.5483870967741935
21,1,3,15,1.75,0.29166666666666663,0.375,0.5135135135135136,0.23076923076923073,0.6774193548387096
21,0,3,12,1.31,0.7916666666666666,0.9375,0.5135135135135136,0.1923076923076923,0.5483870967741935
21,1,3,39,1.5,0.5416666666666666,0.71875,0.2702702702702703,0.5,0.9032258064516129
21,0,3,33,2.21,0.41666666666666663,0.625,0.40540540540540543,0.34615384615384615,0.16129032258064516
21,2,3,35,1.93,0.5833333333333334,0.8125,0.5405405405405406,0.6538461538461537,0.45161290322580644
21,0,3,12,1.53,0.5833333333333334,0.40625,0.2972972972972973,0.6153846153846154,0.3548387096774194
21,0,3,23,1.32,0.45833333333333337,0.375,0.4594594594594595,0.3076923076923077,0.5806451612903225
21,0,3,14,1.68,0.6249999999999999,0.5625,0.5945945945945947,0.6923076923076923,0.4193548387096774
23,1,3,24,1.46,0.20833333333333337,0.5,0.40540540540540543,0.11538461538461531,0.3870967741935484
21,0,3,16,1.8,0.6249999999999999,0.84375,0.4594594594594595,0.6923076923076923,0.5483870967741935
21,0,3,42,1.45,0.7916666666666666,0.53125,0.5945945945945947,0.46153846153846145,0.3870967741935484
21,0,2,11,2.1,0.6249999999999999,0.4375,0.7837837837837838,0.5769230769230769,0.25806451612903225
21,1,3,45,1.29,0.0,0.28125,0.35135135135135137,0.34615384615384615,0.8709677419354839
21,1,3,20,1.42,0.6666666666666666,0.65625,0.13513513513513514,0.6153846153846154,0.4838709677419355
22,0,3,4,1.33,0.5416666666666666,0.9375,0.3783783783783784,0.6538461538461537,0.3225806451612903
20,0,2,39,1.45,0.4999999999999999,0.46875,0.5675675675675675,0.26923076923076916,0.6774193548387096
20,1,3,23,1.21,0.6249999999999999,0.21875,0.32432432432432434,0.3846153846153846,0.1935483870967742
22,1,3,23,1.14,0.9166666666666666,0.71875,0.7297297297297298,0.7307692307692308,0.5483870967741935
20,0,2,33,2.05,0.45833333333333337,0.15625,0.3783783783783784,0.34615384615384615,0.25806451612903225
19,0,2,34,1.09,0.41666666666666663,0.59375,0.21621621621621623,0.3076923076923077,0.7741935483870968
21,0,3,14,1.72,0.7499999999999999,1.0,0.2702702702702703,0.5384615384615385,0.6129032258064516
21,1,3,23,1.14,0.375,0.6875,0.1891891891891892,0.423076923076923,0.6774193548387096
21,1,3,15,1.75,0.41666666666666663,0.53125,0.48648648648648657,0.15384615384615374,0.8709677419354839
20,1,3,4,1.75,0.33333333333333337,0.25,0.35135135135135137,0.34615384615384615,0.8064516129032258
21,1,3,4,1.79,0.45833333333333337,0.34375,0.4594594594594595,0.3076923076923077,0.6774193548387096
21,1,3,4,1.63,0.25,0.375,0.5135135135135136,0.26923076923076916,0.5161290322580645
21,1,3,22,1.75,0.7499999999999999,0.21875,0.810810810810811,0.9615384615384615,0.7419354838709677
21,1,3,4,1.79,0.45833333333333337,0.59375,0.5135135135135136,0.46153846153846145,0.5161290322580645
21,0,3,14,2.3725,0.4999999999999999,0.59375,0.21621621621621623,0.7307692307692308,0.29032258064516125
21,0,3,14,1.72,0.8333333333333334,0.78125,0.5945945945945947,0.46153846153846145,0.9032258064516129
21,1,3,6,1.57,0.5416666666666666,0.3125,0.48648648648648657,0.34615384615384615,0.7419354838709677
20,0,3,14,1.8,0.29166666666666663,0.59375,0.5135135135135136,0.7692307692307692,0.3870967741935484
21,0,3,14,2.0,0.45833333333333337,0.34375,0.2702702702702703,0.3846153846153846,0.3225806451612903
21,0,3,24,1.43,0.7083333333333334,0.5,0.24324324324324326,0.5,0.1935483870967742
21,2,3,14,1.8903,0.8333333333333334,0.09375,0.05405405405405406,0.46153846153846145,0.3225806451612903
20,0,3,24,1.5,0.45833333333333337,0.4375,0.35135135135135137,0.46153846153846145,0.5806451612903225
21,0,3,19,1.75,0.33333333333333337,0.625,0.43243243243243246,0.5769230769230769,0.22580645161290322
21,0,3,33,1.5,0.7499999999999999,0.53125,0.3783783783783784,0.5769230769230769,0.6774193548387096
21,0,3,14,1.75,0.6666666666666666,0.46875,0.32432432432432434,0.423076923076923,0.3548387096774194
21,0,3,30,1.25,0.5416666666666666,0.46875,0.1891891891891892,0.5,0.5161290322580645
22,0,3,7,1.49,0.45833333333333337,0.375,0.35135135135135137,0.6923076923076923,0.0
20,0,3,36,1.49,0.5833333333333334,0.46875,0.810810810810811,0.5769230769230769,0.6774193548387096
22,0,2,28,1.5,0.8749999999999999,0.75,0.5675675675675675,0.5769230769230769,0.9032258064516129
21,1,3,31,1.74,0.375,0.71875,0.43243243243243246,0.6538461538461537,0.7419354838709677
21,1,2,28,1.42,0.5416666666666666,0.5,0.21621621621621623,0.26923076923076916,0.3870967741935484
21,0,3,21,1.44,0.7916666666666666,0.71875,0.43243243243243246,0.23076923076923073,0.7741935483870968
23,0,3,28,1.2,0.7083333333333334,0.6875,0.5405405405405406,0.5,0.6451612903225806
21,0,3,1,1.75,0.41666666666666663,0.3125,0.3783783783783784,0.5384615384615385,0.22580645161290322
23,1,3,45,1.75,0.8333333333333334,0.40625,0.43243243243243246,0.46153846153846145,0.6774193548387096
21,0,3,20,1.75,0.45833333333333337,0.4375,0.5945945945945947,0.3846153846153846,0.4838709677419355
21,1,3,4,1.71,0.33333333333333337,0.53125,0.3783783783783784,0.23076923076923073,0.8064516129032258
21,0,3,23,1.14,0.4999999999999999,0.625,0.5675675675675675,0.3846153846153846,0.45161290322580644
20,0,3,23,1.29,0.16666666666666663,0.0,0.10810810810810811,0.3076923076923077,0.0967741935483871
21,0,3,41,1.06,0.41666666666666663,0.59375,0.4594594594594595,0.5384615384615385,0.3225806451612903
21,1,3,23,1.11,0.6666666666666666,0.59375,0.24324324324324326,0.5,0.3870967741935484
21,0,2,33,1.53,0.41666666666666663,0.5,0.48648648648648657,0.23076923076923073,0.5161290322580645
21,0,3,2,1.72,0.375,0.5,0.35135135135135137,0.34615384615384615,0.45161290322580644
22,1,1,12,1.7,0.7916666666666666,0.84375,0.5675675675675675,0.3076923076923077,0.9354838709677419
21,0,3,18,1.53,0.5833333333333334,0.25,0.05405405405405406,0.8076923076923077,0.12903225806451613
20,0,0,34,1.5,0.33333333333333337,0.59375,0.6486486486486487,0.5,0.6129032258064516
21,0,3,23,1.18,0.4999999999999999,0.5625,0.5675675675675675,0.423076923076923,0.6451612903225806
20,0,2,12,1.5,0.6249999999999999,0.84375,0.48648648648648657,0.8846153846153846,0.4193548387096774
21,0,3,12,1.31,0.7083333333333334,0.71875,0.48648648648648657,0.8846153846153846,0.29032258064516125
21,1,3,23,1.18,0.9999999999999999,0.65625,0.40540540540540543,0.846153846153846,0.5161290322580645
19,1,3,24,1.5,0.5833333333333334,0.625,0.43243243243243246,0.8846153846153846,0.8064516129032258
21,1,3,38,1.5,0.8749999999999999,0.6875,0.05405405405405406,0.5769230769230769,0.3225806451612903
20,0,3,23,1.18,0.375,0.53125,0.40540540540540543,0.15384615384615374,0.6129032258064516
19,0,0,25,1.5,0.6249999999999999,0.5625,0.40540540540540543,0.3076923076923077,0.967741935483871
22,1,1,27,1.65,0.4999999999999999,0.625,0.40540540540540543,0.3076923076923077,0.7096774193548387
20,0,3,33,1.5,0.7499999999999999,0.65625,0.16216216216216217,0.5,0.12903225806451613
20,1,2,37,1.22,0.29166666666666663,0.375,0.48648648648648657,0.46153846153846145,0.4193548387096774
21,0,3,9,1.58,0.7916666666666666,0.71875,0.3783783783783784,0.5,0.7741935483870968
20,0,2,42,1.5,0.41666666666666663,0.625,0.48648648648648657,0.34615384615384615,0.7096774193548387
21,1,2,2,1.2969,0.7083333333333334,0.875,0.24324324324324326,0.5,0.8709677419354839
20,1,2,43,1.75,0.6666666666666666,0.46875,0.5135135135135136,0.5,1.0
20,0,0,44,1.7,0.6666666666666666,0.5625,0.10810810810810811,0.6923076923076923,0.4193548387096774
21,0,3,19,1.3,0.6249999999999999,0.5625,0.32432432432432434,0.6538461538461537,0.3548387096774194
20,0,3,29,1.89,0.375,0.53125,0.35135135135135137,0.1923076923076923,0.4838709677419355
20,0,3,42,1.75,0.4999999999999999,0.375,0.5945945945945947,0.423076923076923,0.8064516129032258
21,1,3,28,1.33,0.33333333333333337,0.15625,0.5675675675675675,0.46153846153846145,0.3548387096774194
20,1,3,27,2.3,0.6666666666666666,0.65625,0.10810810810810811,0.5,0.5161290322580645
21,0,3,32,2.3725,0.7916666666666666,0.96875,0.1891891891891892,0.23076923076923073,0.7419354838709677
